INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (1, 'Mickey', 'Ketteringham', '2007-03-05');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (2, 'Melly', 'Dalgarnowch', '2007-10-03');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (3, 'Rafe', 'Featonby', '2008-08-31');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (4, 'Emlyn', 'Britney', '2009-04-08');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (5, 'Maureen', 'Pyott', '2007-08-18');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (6, 'Prudi', 'Siward', '2010-07-09');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (7, 'Hilliary', 'Edghinn', '2008-09-26');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (8, 'Donia', 'Brekonridge', '2011-04-05');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (9, 'Ozzie', 'Hover', '2010-01-14');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (10, 'Dame', 'McCoy', '2007-06-13');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (11, 'Scotti', 'Pires', '2009-04-09');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (12, 'Travis', 'Linggard', '2008-05-31');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (13, 'Sarah', 'McGowran', '2012-09-08');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (14, 'Corabella', 'Russell', '2011-08-11');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (15, 'Orelie', 'Peeters', '2013-07-16');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (16, 'Delila', 'Goodsell', '2010-06-06');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (17, 'Harriot', 'Stogill', '2014-10-12');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (18, 'Nealy', 'Clewer', '2009-03-19');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (19, 'Annis', 'Lotterington', '2015-02-03');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (20, 'Eleen', 'de Villier', '2007-11-20');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (21, 'Maryann', 'Haversham', '2007-02-01');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (22, 'Tymon', 'Wreak', '2013-10-09');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (23, 'Gusta', 'Fouldes', '2012-01-10');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (24, 'Leigh', 'Wixon', '2008-03-17');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (25, 'Edithe', 'McGivena', '2009-02-19');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (26, 'Otes', 'Sarfat', '2013-06-20');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (27, 'Timothee', 'Barrell', '2012-08-21');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (28, 'Cleon', 'MacKilroe', '2010-10-21');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (29, 'Keenan', 'Lenox', '2009-09-18');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (30, 'Cordell', 'Breslauer', '2014-05-30');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (31, 'Hazlett', 'Caughan', '2010-10-16');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (32, 'Berte', 'Syratt', '2013-03-13');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (33, 'Cindi', 'Ammer', '2009-10-13');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (34, 'Leandra', 'Zannutti', '2011-03-22');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (35, 'Kent', 'Gifford', '2013-09-06');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (36, 'Mortimer', 'Ragate', '2012-09-10');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (37, 'Miltie', 'Palfery', '2014-09-29');
